"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","545.9690593773672","568.6155561226329","4.655667754841799","0","0.011700000000000044","0.022399999999999975","0.001","1244.4444444444443","0.00024055860203251941","0","0.00024055860203251941","0.00024055860203251941","0_1:0.004461095878737775;0_14:0.008222620827314842","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","496.7826307072451","196.3129880858137","4.534970682680464","0","0.0020999999999999908","0.0026000000000000467","0.0016","1244.4444444444443","0.00010200083711050034","0","0.00010200083711050034","0.00010200083711050034","1_2:0.009009035806531951","1_2:561.7777777777777","true"
"2","156.7545017204859","81.89762895570459","4.680125120802894","0","0.005700000000000038","0.008600000000000052","0.0028","1244.4444444444443","0.0002603938861520515","0","0.0002603938861520515","0.0002603938861520515","2_3:0.006478468846610297","2_3:561.7777777777777","true"
"3","309.93755501681164","127.06563577929343","4.606653062118176","0","0.006599999999999939","0.0094","0.0038000000000000256","1244.4444444444443","0.00016421888123538273","0","0.00016421888123538273","0.00016421888123538273","","","true"
"4","374.0557057226164","175.26951175420623","4.462289193696296","0","0.007800000000000029","0.01100000000000001","0.0046","1244.4444444444443","0.0006088398290560868","0","0.0006088398290560868","0.0006088398290560868","4_3:0.008498391596409055;4_15:0.014111499995124843","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","290.68805373620654","420.7581095718982","4.426683131967473","0","0.005800000000000027","0.009","0.0026000000000000467","1244.4444444444443","0.00021908637724390615","0","0.00021908637724390615","0.00021908637724390615","5_4:0.009407533040443505","5_4:561.7777777777777","true"
"6","336.78056289080257","176.334126296096","4.640092964520941","0","0.0048000000000000265","0.009000000000000008","0.0006","1244.4444444444443","0.000564449388209613","0","0.000564449388209613","0.000564449388209613","6_5:0.009130675763657864","6_5:561.7777777777777","true"
"7","356.7733838236071","191.50198405077248","4.475679209812651","0","0.007000000000000006","0.0076","0.006399999999999961","1244.4444444444443","0.00014754135382109997","0","0.00014754135382109997","0.00014754135382109997","7_8:0.006765990920062553;7_6:0.017452693769963196","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","213.62173761886135","195.66030215176474","4.401830589757622","0","0.0016000000000000458","0.0028000000000000247","0.0004","1244.4444444444443","0.0003238957479069167","0","0.0003238957479069167","0.0003238957479069167","8_9:0.02427906148995057","8_9:561.7777777777777","true"
"9","458.0369590851091","352.76992871887404","4.519004118522005","0","0.008599999999999941","0.009199999999999986","0.008","1244.4444444444443","0.00018725050322001248","0","0.00018725050322001248","0.00018725050322001248","","","true"
"10","203.06313528431534","43.99298804961838","4.628381739868597","0","0.007299999999999973","0.0102","0.0043999999999999595","1244.4444444444443","0.00017383734921511896","0","0.00017383734921511896","0.00017383734921511896","10_11:0.011225148504585974;10_9:0.007141951104418565","10_11:561.7777777777777;10_9:561.7777777777777","true"
